Time (uS) - Plot 0;Amplitude - Plot 0 - real;Time (uS) - Plot 0;Amplitude - Plot 1 - imag
8020;4,20E+04;8020;-1,10E+04
8040;6,50E+04;8040;4,30E+04
8060;-5,10E+04;8060;2,30E+04
8080;5,50E+04;8080;-5,40E+04
8100;5,10E+04;8100;-5,00E+03
8120;1,80E+04;8120;-2,00E+04
8140;2,70E+04;8140;-2,40E+04
8160;1,70E+04;8160;6,00E+04
8180;-1,70E+04;8180;-7,80E+04
8200;3,80E+04;8200;4,40E+04
8220;-9,00E+03;8220;4,00E+04
8240;-1,40E+04;8240;2,50E+04
8260;-2,10E+04;8260;-1,40E+04
8280;-2,30E+04;8280;-1,10E+04
8300;-9,00E+03;8300;2,80E+04
8320;-3,00E+04;8320;-7,60E+04
8340;4,80E+04;8340;2,30E+04
8360;2,50E+04;8360;-4,30E+04
8380;5,10E+04;8380;1,90E+04
8400;-5,10E+04;8400;-1,30E+04
8420;1,39E+02;8420;-2,00E+03
8440;-4,60E+04;8440;-5,00E+03
8460;-2,10E+04;8460;-5,00E+03
8480;-2,30E+04;8480;-7,00E+04
8500;5,30E+04;8500;-2,90E+04
8520;-2,10E+04;8520;-2,90E+04
8540;2,60E+04;8540;2,20E+04
8560;-3,00E+03;8560;-3,00E+03
8580;1,50E+04;8580;1,00E+04
8600;-1,20E+04;8600;1,90E+04
8620;1,90E+04;8620;-4,30E+04
8640;-4,00E+03;8640;-3,50E+04
8660;4,50E+04;8660;-1,30E+04
8680;-1,00E+04;8680;3,40E+04
8700;3,40E+04;8700;7,00E+03
8720;6,50E+04;8720;-2,20E+04
8740;3,50E+04;8740;-3,80E+04
8760;5,00E+03;8760;2,80E+04
8780;5,00E+04;8780;1,00E+03
8800;2,60E+04;8800;-1,60E+04
8820;3,00E+03;8820;-2,00E+04
8840;3,70E+04;8840;-6,00E+03
8860;5,00E+03;8860;3,60E+04
8880;-1,00E+04;8880;8,00E+03
8900;-2,30E+04;8900;-1,10E+04
8920;-1,40E+04;8920;-1,30E+04
8940;-7,00E+03;8940;3,30E+04
8960;-3,90E+04;8960;2,30E+04
8980;-5,20E+04;8980;1,20E+04
9000;2,30E+04;9000;-3,00E+03
9020;-3,90E+04;9020;6,50E+04
9040;3,20E+04;9040;-1,20E+04
9060;-6,00E+03;9060;-4,00E+04
9080;-4,00E+03;9080;3,10E+04
9100;1,30E+04;9100;-3,90E+04
9120;-2,30E+04;9120;-5,00E+04
9140;4,00E+03;9140;2,90E+04
9160;-3,00E+04;9160;-2,00E+04
9180;3,20E+04;9180;2,30E+04
9200;-2,80E+04;9200;-4,00E+03
9220;3,80E+04;9220;3,30E+04
9240;-3,20E+04;9240;2,00E+03
9260;3,30E+04;9260;-5,00E+04
9280;2,00E+04;9280;-2,50E+04
9300;7,00E+03;9300;-4,10E+04
9320;-5,00E+03;9320;1,40E+04
9340;1,50E+04;9340;5,60E+04
9360;-1,40E+04;9360;-7,00E+03
9380;-3,80E+04;9380;-3,50E+04
9400;-3,90E+04;9400;-4,00E+03
9420;2,30E+04;9420;-7,00E+03
9440;-4,30E+04;9440;1,10E+04
9460;1,70E+04;9460;-6,50E+04
9480;-2,80E+04;9480;-1,00E+03
9500;4,10E+04;9500;-4,00E+04
9520;5,37E+02;9520;-5,00E+00
9540;-1,00E+04;9540;1,10E+04
9560;2,00E+04;9560;6,10E+04
9580;2,80E+04;9580;-3,10E+04
9600;3,60E+04;9600;3,30E+04
9620;-2,90E+04;9620;-4,30E+04
9640;3,00E+03;9640;4,00E+04
9660;-1,30E+04;9660;1,70E+04
9680;-1,50E+04;9680;1,60E+04
9700;2,30E+04;9700;-4,00E+03
9720;8,00E+03;9720;-3,50E+04
9740;-1,70E+04;9740;-8,00E+03
9760;2,80E+04;9760;3,20E+04
9780;-7,00E+03;9780;3,80E+04
9800;-4,00E+03;9800;-4,30E+04
9820;1,20E+04;9820;-2,60E+04
9840;1,20E+04;9840;-1,10E+04
9860;-1,40E+04;9860;-9,00E+03
9880;-2,00E+03;9880;3,60E+04
9900;-1,60E+04;9900;2,60E+04
9920;1,60E+04;9920;1,50E+04
9940;-2,90E+04;9940;4,80E+04
9960;-5,90E+04;9960;-1,10E+04
9980;-2,00E+03;9980;1,80E+04
10000;-1,50E+04;10000;3,20E+04
10020;-3,00E+04;10020;4,00E+03
10040;2,50E+04;10040;-4,40E+04
10060;-6,00E+03;10060;2,30E+04
10080;-1,30E+04;10080;-1,10E+04
10100;-4,00E+03;10100;-3,30E+04
10120;-1,90E+04;10120;1,80E+04
10140;-4,20E+04;10140;8,00E+03
10160;3,20E+04;10160;-1,00E+04
10180;5,00E+03;10180;3,00E+04
10200;3,90E+04;10200;-7,00E+03
10220;5,70E+04;10220;-1,30E+04
10240;7,00E+03;10240;3,30E+04
10260;4,00E+04;10260;2,40E+04
10280;6,00E+03;10280;3,70E+04
10300;2,70E+04;10300;-3,00E+03
10320;-7,00E+03;10320;-2,00E+04
10340;4,00E+03;10340;-6,00E+03
10360;-3,00E+03;10360;2,00E+04
10380;5,20E+04;10380;5,20E+04
10400;-9,00E+03;10400;-2,00E+04
10420;1,00E+03;10420;7,00E+03
10440;-4,50E+04;10440;2,90E+04
10460;2,80E+04;10460;2,50E+04
10480;3,70E+04;10480;1,20E+04
10500;-2,00E+03;10500;1,90E+04
